"siteID","Lake_name","Other_names","lake_or_reservoir","location","region","latitude","longitude","geospatial_accuracy_km","elevation_m","mean_depth_m","max_depth_m","surface_area_km2","volume_km3","source","sampling_depth","sampling_time_of_day","time_period","contributor"
115,"Harney",,"Lake","United States","Southeastern North America",28.75,-81.05,4.50,1.00,2.10,3.40,23.00,0.04,"in situ","0","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
116,"Harp",,"Lake","Canada","Northeastern North America",45.38,-79.13,0.90,327.00,13.30,37.50,0.71,9.49e-03,"in situ","0.1","10:00-14:00","JAS","Jim Rusak Jim.Rusak@ontario.ca"
117,"Harris",,"Lake","United States","Southeastern North America",28.77,-81.81,6.00,19.00,3.50,4.30,75.00,0.15,"in situ","0","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
118,"Harus",,"Lake","Mongolia","Asia",47.95,92.15,2.00,1191.00,2.10,4.50,1193.50,3.12,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
119,"Heney",,"Lake","Canada","Northeastern North America",45.12,-79.10,0.55,345.50,3.30,5.80,0.21,7.05e-04,"in situ","0.1","10:00-14:00","JAS","Jim Rusak Jim.Rusak@ontario.ca"
120,"Hongze","Hung-tse","Lake","China","Asia",33.29,118.73,2.00,3.00,8.00,,1524.90,25.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
121,"Hope.Valley",,"Reservoir","Australia","Oceania",-34.85,138.68,1.00,103.40,5.46,13.34,0.52,2.8e-03,"in situ","0","8:00-12:00","JFM","Rob Daly Rob.Daly@sawater.com.au"
122,"HovsGol","Khovsgol","Lake","Mongolia","Asia",51.21,100.53,2.00,1640.00,138.00,267.00,2741.40,381.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
123,"Hulun",,"Lake","China","Asia",48.83,117.25,2.00,539.00,5.00,7.00,2166.50,13.13,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
124,"Huron.B45003",,"Lake","Canada United States","Northeastern North America",45.35,-82.84,10.00,176.00,53.00,228.00,59756.50,3535.00,"in situ","0","continuous","JAS","Jay Austin jaustin@d.umn.edu; Phillip Schneider ps@nilu.no"
125,"Huron.B45008",,"Lake","Canada United States","Northeastern North America",44.28,-82.41,10.00,176.00,53.00,228.00,59756.50,3535.00,"in situ","0","continuous","JAS","Jay Austin jaustin@d.umn.edu; Phillip Schneider ps@nilu.no"
126,"Huron.Center",,"Lake","Canada United States","Northeastern North America",44.75,-82.33,2.00,176.00,53.00,228.00,59756.50,3535.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
127,"Hyargas",,"Lake","Mongolia","Asia",49.20,93.25,2.00,1027.00,20.00,80.00,1362.70,75.20,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
128,"Iliamna.Lake",,"Lake","United States","Western North America",59.47,-155.60,2.00,35.00,442.20,299.00,2623.20,1160.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
129,"IlMen",,"Reservoir","Russia","Europe",58.25,31.21,2.00,15.00,3.40,10.00,982.00,,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
130,"Inari",,"Lake","Finland","Europe",68.85,28.28,4.00,120.00,14.00,92.00,1110.00,15.10,"in situ","0","8:00","JAS","Esko Kuusisto esko.kuusisto@ymparisto.fi"
131,"Issyk.kul",,"Lake","Kyrgyzstan","Asia",42.42,77.31,2.00,1619.00,270.00,668.00,6258.90,1689.90,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
132,"Itaparica",,"Reservoir","Brazil","South America",-9.71,-41.73,2.00,417.00,18.00,101.00,8779.10,10.70,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
133,"Izabal",,"Lake","Guatemala","South America",15.49,-89.14,2.00,47.00,12.62,18.00,673.29,8.50,"satellite","skin-derived bulk temperature","22:00-5:00","JFM","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
134,"Jesup",,"lake","United States","Southeastern North America",28.70,-81.23,7.50,1.00,1.27,3.40,45.06,0.05,"in situ","0","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
135,"Kainji",,"Reservoir","Nigeria","Africa",10.40,4.56,2.00,96.00,10.60,12.10,1414.00,15.00,"satellite","skin-derived bulk temperature","22:00-5:00","JFM","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
136,"Kallavesi",,"Lake","Finland","Europe",62.90,27.73,20.00,82.00,9.00,90.00,898.00,7.99,"in situ","0","8:00","JAS","Esko Kuusisto esko.kuusisto@ymparisto.fi"
137,"Kangaroo.Creek",,"Reservoir","Australia","Oceania",-34.86,138.79,1.60,237.50,18.60,47.38,1.03,0.01,"in situ","0","8:00-12:00","JFM","Justin Brookes justin.brookes@adelaide.edu.au"
138,"KapchagayskoyeVodo","Kapshagay Reservoir","Reservoir","Kazakhstan","Asia",43.84,77.41,2.00,462.00,22.07,,1273.00,28.10,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
139,"Kariba",,"Reservoir","Zimbabwe Zambia","Africa",-16.68,28.44,2.00,468.00,29.00,97.00,4958.50,160.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
140,"Kasba",,"Lake","Canada","Western North America",60.32,-102.11,2.00,335.00,,,1334.80,,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
141,"Kensico",,"Reservoir","United States","Northeastern North America",41.08,-73.76,2.00,108.81,19.20,53.90,9.14,0.16,"in situ","1","9:00-14:00","JAS","Nihar Samal NSamal@dep.nyc.gov"
142,"Kevojarvi","Kevoj�rvi","Lake","Finland","Europe",69.75,27.01,2.50,75.00,11.00,35.00,1.00,0.01,"in situ","0","8:00","JAS","Esko Kuusisto esko.kuusisto@ymparisto.fi"
143,"Khanka",,"Lake","Russia China","Asia",45.09,132.42,2.00,64.00,4.50,6.50,4088.10,18.30,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
144,"Kinneret",,"Lake","Israel","Middle East",32.83,35.58,13.00,-209.00,25.60,43.00,170.00,4.00,"in situ","0","10:00","JAS","Alon Rimmer alon@ocean.org.il"
145,"Kivu",,"Lake","Zaire Rwanda","Africa",-1.79,29.14,2.00,1500.00,240.00,480.00,2370.70,333.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
146,"Kremenshugskoye",,"Reservoir","Ukraine","Europe",49.23,32.78,2.00,78.00,6.87,,1964.90,13.50,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
147,"Kulundinskoye",,"Lake","Russia","Asia",53.01,79.53,2.00,92.00,32.00,4.90,728.00,23.29,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
148,"Kuybyshevskoye",,"Reservoir","Russia","Europe",55.29,49.61,2.00,56.00,8.00,41.00,5003.30,57.30,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
149,"L223",,"Lake","Canada","Northeastern North America",49.69,-93.70,0.40,402.00,7.16,14.40,0.27,1.95e-03,"in situ","2","9:00-14:00","JAS","Ken Sandiland Ken.Sandilands@dfo-mpo.gc.ca; Scott Higgins Scott.Higgins@dfo-mpo.gc.ca"
150,"L224",,"Lake","Canada","Northeastern North America",49.69,-93.71,0.50,402.00,11.59,27.40,0.25,3.0e-03,"in situ","2","9:00-14:00","JAS","Ken Sandiland Ken.Sandilands@dfo-mpo.gc.ca; Scott Higgins Scott.Higgins@dfo-mpo.gc.ca"
151,"L227",,"Lake","Canada","Northeastern North America",49.68,-93.68,0.20,402.00,4.42,10.00,0.05,2.21e-04,"in situ","2","9:00-14:00","JAS","Ken Sandiland Ken.Sandilands@dfo-mpo.gc.ca; Scott Higgins Scott.Higgins@dfo-mpo.gc.ca"
152,"L239",,"Lake","Canada","Northeastern North America",49.66,-93.72,0.50,392.00,10.52,30.40,0.54,5.71e-03,"in situ","2","9:00-14:00","JAS","Ken Sandiland Ken.Sandilands@dfo-mpo.gc.ca; Scott Higgins Scott.Higgins@dfo-mpo.gc.ca"
153,"L240",,"Lake","Canada","Northeastern North America",49.65,-93.72,0.40,392.00,6.05,13.10,0.44,2.67e-03,"in situ","2","9:00-14:00","JAS","Ken Sandiland Ken.Sandilands@dfo-mpo.gc.ca; Scott Higgins Scott.Higgins@dfo-mpo.gc.ca"
154,"L302s",,"Lake","Canada","Northeastern North America",49.67,-93.75,0.60,402.00,5.08,10.60,0.10,1.29e-03,"in situ","2","9:00-14:00","JAS","Ken Sandiland Ken.Sandilands@dfo-mpo.gc.ca; Scott Higgins Scott.Higgins@dfo-mpo.gc.ca"
155,"Labaz","Lobaz","Lake","Russia","Asia",72.29,99.69,2.00,48.00,,,549.60,,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
156,"Lacawac",,"Lake","United States","Northeastern North America",41.38,-75.29,0.25,428.00,10.10,24.10,0.48,4.88e-03,"in situ","0","8:00-16:00","JAS","Craig Williamson craig.williamson@miamiOH.edu"
157,"Ladoga",,"Lake","Russia","Europe",60.77,31.64,2.00,11.00,51.00,230.00,17539.10,837.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
158,"Lake.of.the.Woods",,"Lake","Canada United States","Northeastern North America",49.05,-94.88,2.00,326.00,7.90,64.00,4167.70,19.40,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
159,"Lappajarvi","Lappaj�rvi","Lake","Finland","Europe",63.26,23.63,25.00,70.00,7.00,38.00,141.00,1.07,"in situ","0","8:00","JAS","Esko Kuusisto esko.kuusisto@ymparisto.fi"
160,"Lianquihui",,"Lake","Chile","South America",-41.12,-72.78,2.00,56.00,182.00,317.00,865.90,158.60,"satellite","skin-derived bulk temperature","22:00-5:00","JFM","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
161,"Limfjorden",,"Lake","Denmark","Europe",56.95,9.06,2.00,3.00,44.86,24.00,900.00,54.17,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
162,"Little.Para",,"Reservoir","Australia","Oceania",-34.75,138.72,1.80,141.80,16.64,,1.25,0.02,"in situ","0","8:00-12:00","JFM","Rob Daly Rob.Daly@sawater.com.au"
163,"Loch.Leven",,"Lake","Scotland","Europe",56.19,-3.37,3.00,107.00,3.90,25.50,13.30,0.09,"in situ","0","10:00-12:00","JAS","Linda May lmay@ceh.ac.uk"
164,"The.Loch",,"Lake","United States","Western North America",40.29,-105.65,0.15,3048.00,1.50,4.70,0.04,6.1e-05,"in situ","0","10:00-14:00","JAS","Jill Baron Jill.Baron@colostate.edu"
165,"Lochloosa",,"Lake","United States","Southeastern North America",29.52,-82.13,3.50,18.00,1.80,10.00,26.00,0.04,"in situ","0","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
166,"Lohi",,"Lake","Canada","Northeastern North America",46.38,-81.04,0.75,282.00,6.20,19.50,0.40,2.5e-03,"in situ","0","9:00-14:00","JAS","John Bailey jbailey@laurentian.ca"
167,"Zurich.Lower",,"Lake","Switzerland","Europe",47.29,8.58,18.00,406.00,50.20,136.00,66.61,3.34,"in situ","0","8:00-16:00","JAS","David Livingstone living@eawag.ch; Oliver K�ster oliver.koester@zuerich.ch; Pius Niderhauser pius.niederhauser@bd.zh.ch"
168,"Maggiore",,"Lake","Italy","Europe",45.95,8.63,25.00,193.88,176.50,370.00,212.50,37.50,"in situ","0","10:00-12:00","JAS","Michela Rogora m.rogora@ise.cnr.it"
169,"Mai.Ndombe",,"Lake","Zaire","Africa",-1.69,18.28,2.00,335.00,5.00,10.00,1954.90,,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
170,"Malaren","M�laren","Lake","Sweden","Europe",59.50,17.20,40.00,0.30,12.80,63.00,1096.00,14.03,"in situ","0.5","9:00-11:00","JAS","Gesa  Wehenmeyer Gesa.Weyhenmeyer@ebc.uu.se"
171,"Malawi.Buoy1",,"Lake","Malawi Mozambique Tanzania","Africa",-13.86,34.85,2.00,485.00,292.00,706.00,29251.50,8400.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
172,"Malawi.Buoy2",,"Lake","Malawi Mozambique Tanzania","Africa",-13.43,34.74,2.00,485.00,292.00,706.00,29251.50,8400.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
173,"Malawi.Center",,"Lake","Malawi Mozambique Tanzania","Africa",-11.73,34.62,2.00,485.00,292.00,706.00,29251.50,8400.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
174,"Managua",,"Lake","Nicaragua","South America",12.37,-86.36,2.00,56.00,7.80,26.00,1023.80,7.97,"satellite","skin-derived bulk temperature","22:00-5:00","JFM","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
175,"Manitoba",,"Lake","Canada","Northeastern North America",50.41,-98.29,2.00,247.00,4.75,7.00,4790.90,22.80,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
176,"Maroondah",,"Reservoir","Australia","Oceania",-37.63,145.56,1.50,123.94,,41.00,1.97,,"in situ","0","8:00-12:00","JFM","Justin Brookes justin.brookes@adelaide.edu.au"
177,"Martre",,"Lake","Canada","Western North America",63.45,-118.19,2.00,265.00,,,1684.00,,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
178,"McConaughy",,"Lake","United States","Western North America",41.22,-101.72,5.00,996.00,14.90,43.00,144.00,2.15,"in situ","0","7:00-17:00","JAS","John Lenters jlenters@mac.com"
179,"Mendota",,"Lake","United States","Northeastern North America",43.09,-89.40,5.00,259.00,12.80,25.30,39.37,0.50,"in situ","0","9:00-15:00","JAS","NTL LTER, Jordan Read jread@usgs.gov"
180,"Michigan.B45002",,"Lake","United States","Northeastern North America",45.34,-86.40,10.00,176.00,84.00,281.00,57399.40,4871.00,"in situ","0","continuous","JAS","Jay Austin jaustin@d.umn.edu; Phillip Schneider ps@nilu.no"
181,"Michigan.B45007",,"Lake","United States","Northeastern North America",42.67,-87.02,30.00,176.00,84.00,281.00,57399.40,4871.00,"in situ","0","continuous","JAS","Jay Austin jaustin@d.umn.edu; Phillip Schneider ps@nilu.no"
182,"Michigan.Center",,"Lake","United States","Northeastern North America",42.84,-86.94,2.00,176.00,84.00,281.00,57399.40,4871.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
183,"Middle",,"Lake","Canada","Northeastern North America",46.43,-81.02,0.80,284.00,6.20,15.00,0.28,1.75e-03,"in situ","0","9:00-14:00","JAS","John Bailey jbailey@laurentian.ca"
184,"Millbrook",,"Reservoir","Australia","Oceania",-34.82,138.81,1.50,326.30,9.26,24.96,1.78,0.01,"in situ","0","8:00-12:00","JFM","Rob Daly Rob.Daly@sawater.com.au"
185,"Mondsee",,"Lake","Austria","Europe",47.83,13.38,20.00,481.00,36.00,68.30,14.20,0.49,"in situ","0","8:00-10:00","JAS","Martin Dokulil  martin.dokulil@univie.ac.at; Katrin Teubner katrin.teubner@univie.ac.at"
186,"Mono.Lake",,"Lake","United States","Western North America",38.01,-118.96,2.00,1955.00,16.50,43.00,212.00,2.97,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
187,"Monona",,"Lake","United States","Northeastern North America",43.06,-89.36,3.00,258.00,8.20,22.50,13.24,0.10,"in situ","0","9:00-15:00","JAS","NTL LTER, Jordan Read jread@usgs.gov"
188,"Mount.Bold",,"Reservoir","Australia","Oceania",-35.12,138.71,3.00,306.50,14.99,41.45,3.08,0.04,"in situ","0","8:00-12:00","JFM","Rob Daly Rob.Daly@sawater.com.au"
189,"Muggelsee","M�ggelsee","Lake","Germany","Europe",52.43,13.65,2.00,32.00,4.90,8.00,7.30,0.03,"in situ","0.5","8:00-9:00","JAS","Rita Adrian adrian@igb-berlin.de"
190,"Mweru",,"Lake","Zambia Zaire","Africa",-9.01,28.74,2.00,949.00,7.00,37.00,4944.80,32.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
191,"Myponga",,"Reservoir","Australia","Oceania",-35.40,138.44,2.50,225.60,9.57,44.08,2.80,0.02,"in situ","0","8:00-12:00","JFM","Rob Daly Rob.Daly@sawater.com.au"
192,"Na.Mu","Nam Co, Nam Mu","Lake","China","Asia",30.70,90.45,2.00,4704.00,26.00,33.00,1933.60,49.92,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
193,"Nasser",,"Reservoir","Egypt Sudan","Africa",23.19,32.78,2.00,192.00,25.20,130.00,3817.90,132.50,"satellite","skin-derived bulk temperature","22:00-5:00","JFM","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
194,"Nerpichye",,"Lake","Russia","Asia",56.41,162.74,2.00,1.00,51.00,148.00,527.70,26.91,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
195,"Nettiling",,"Lake","Canada","Northeastern North America",66.76,-70.72,2.00,30.00,20.00,132.00,5064.70,114.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
196,"Neusiedler.See","Ferto","Lake","Austria","Europe",47.75,16.75,20.00,116.00,1.20,1.80,315.00,0.25,"in situ","0","8:00-10:00","JAS","Martin Dokulil martin.dokulil@univie.ac.at "
197,"Neversink",,"Reservoir","United States","Northeastern North America",41.82,-74.64,3.00,438.91,25.80,57.00,6.22,0.15,"in situ","1","9:00-14:00","JAS","Nihar Samal NSamal@dep.nyc.gov"
198,"Newnans",,"Lake","United States","Southeastern North America",29.64,-82.22,4.30,20.00,1.50,3.60,30.42,0.05,"in situ","0","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
199,"Ngoring","Eling","Lake","China","Asia",34.89,97.71,2.00,4240.00,17.60,30.70,597.80,10.76,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
200,"Nicaragua",,"Lake","Nicaragua","South America",11.37,-85.20,2.00,31.00,13.75,70.00,7851.50,108.00,"satellite","skin-derived bulk temperature","22:00-5:00","JFM","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
201,"Nipigon",,"Lake","Canada","Northeastern North America",49.72,-88.63,2.00,283.00,54.90,165.00,4476.90,248.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
202,"Samsonvale","North.Pine.Dam","Reservoir","Australia","Oceania",-27.26,152.93,7.50,39.60,42.33,24.90,20.75,0.51,"in situ","0","continuous","JFM","Andrew Watkinson Andrew.Watkinson@seqwater.com.au"
203,"OkeechobeeL001",,"Lake","United States","Southeastern North America",27.13,-80.79,6.00,4.00,2.70,4.50,1436.80,5.20,"in situ","0.5","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
204,"OkeechobeeL002",,"Lake","United States","Southeastern North America",27.08,-80.79,6.00,5.49,2.74,3.66,1891.00,5.18,"in situ","0.5","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
205,"OkeechobeeL003",,"Lake","United States","Southeastern North America",27.04,-80.70,7.00,5.49,2.74,3.66,1891.00,5.18,"in situ","0.5","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
206,"OkeechobeeL004",,"Lake","United States","Southeastern North America",26.97,-80.70,7.00,5.49,2.74,3.66,1891.00,5.18,"in situ","0.5","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
207,"OkeechobeeL005",,"Lake","United States","Southeastern North America",26.95,-80.97,8.00,5.49,2.74,3.66,1891.00,5.18,"in situ","0.5","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
208,"OkeechobeeL006",,"Lake","United States","Southeastern North America",26.82,-80.78,6.00,5.49,2.74,3.66,1891.00,5.18,"in situ","0.5","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
209,"OkeechobeeL007",,"Lake","United States","Southeastern North America",26.77,-80.78,6.00,5.49,2.74,3.66,1891.00,5.18,"in situ","0.5","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
210,"OkeechobeeL008",,"Lake","United States","Southeastern North America",26.95,-80.89,8.00,5.49,2.74,3.66,1891.00,5.18,"in situ","0.5","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
211,"Onegh","Onega","Lake","Russia","Europe",61.65,35.53,2.00,56.00,30.00,120.00,9608.10,280.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
212,"Oneida_Billington",,"Lake","United States","Northeastern North America",43.17,-75.94,1.50,112.00,4.30,16.80,207.00,1.56,"in situ","0","8:00-12:00","JAS","Amy Hetherington alh11@cornell.edu; Lars Rudstram lgr1@cornell.edu"
213,"Oneida_Buoy_109",,"Lake","United States","Northeastern North America",43.18,-75.77,5.00,112.00,12.00,16.80,207.00,1.56,"in situ","0","8:00-12:00","JAS","Amy Hetherington alh11@cornell.edu; Lars Rudstram lgr1@cornell.edu"
214,"Oneida_Buoy_117",,"Lake","United States","Northeastern North America",43.19,-75.85,5.00,112.00,11.90,16.80,207.00,1.56,"in situ","0","8:00-12:00","JAS","Amy Hetherington alh11@cornell.edu; Lars Rudstram lgr1@cornell.edu"
215,"Oneida_Buoy_123",,"Lake","United States","Northeastern North America",43.20,-75.91,0.80,112.00,7.70,16.80,207.00,1.56,"in situ","0","8:00-12:00","JAS","Amy Hetherington alh11@cornell.edu; Lars Rudstram lgr1@cornell.edu"
216,"Oneida_Buoy_125",,"Lake","United States","Northeastern North America",43.21,-75.92,0.80,112.00,12.10,16.80,207.00,1.56,"in situ","0","8:00-12:00","JAS","Amy Hetherington alh11@cornell.edu; Lars Rudstram lgr1@cornell.edu"
217,"Oneida_Buoy_127",,"Lake","United States","Northeastern North America",43.21,-75.96,3.00,112.00,11.20,16.80,207.00,1.56,"in situ","0","8:00-12:00","JAS","Amy Hetherington alh11@cornell.edu; Lars Rudstram lgr1@cornell.edu"
218,"Oneida_Shackelton_Point",,"Lake","United States","Northeastern North America",43.18,-75.92,1.50,112.00,11.40,16.80,207.00,1.56,"in situ","0","8:00-12:00","JAS","Amy Hetherington alh11@cornell.edu; Lars Rudstram lgr1@cornell.edu"
219,"Oneida_Three_Mile_Bay",,"Lake","United States","Northeastern North America",43.22,-76.04,7.00,112.00,6.40,16.80,207.00,1.56,"in situ","0","8:00-12:00","JAS","Amy Hetherington alh11@cornell.edu; Lars Rudstram lgr1@cornell.edu"
220,"Ontario.Center",,"Lake","Canada","Northeastern North America",43.62,-77.61,2.00,75.00,86.00,224.00,19328.90,1638.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
221,"Orange",,"Lake","United States","Southeastern North America",29.45,-82.17,5.50,17.00,1.90,2.40,48.00,0.09,"in situ","0","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
222,"Orta",,"Lake","Italy","Europe",45.81,8.40,7.00,290.00,72.00,143.00,18.15,1.24,"in situ","0","10:00-12:00","JAS","Michela Rogora m.rogora@ise.cnr.it"
223,"Ovre Skarjon"," �vre Sk�rj�n","Lake","Sweden","Europe",59.83,15.55,2.00,218.70,5.70,32.00,1.72,9.91e-03,"in situ","0","9:00-11:00","JAS","Gesa  Wehenmeyer Gesa.Weyhenmeyer@ebc.uu.se"
224,"Paajarvi.Lamni",,"lake","Finland","Europe",61.05,25.16,7.00,102.00,15.00,85.00,13.40,0.20,"in situ","0","8:00-16:00","JAS","Lauri Arvola lauri.arvola@helsinki.fi"
225,"Paijanne","Murtoselka, P�ij�nne","Lake","Finland","Europe",61.52,25.50,40.00,78.00,16.00,95.30,1080.00,0.20,"in situ","0","8:00","JAS","Kuusisto esko.kuusisto@ymparisto.fi "
226,"Peipsi.Mehikoorma","Chudskoye, Peipus","Lake","Russia Estonia","Europe",58.23,27.47,25.00,29.00,7.10,15.30,3552.80,25.00,"in situ","0","8:00-20:00","JAS","Tiina and Peeter Noges tiina.noges@emu.ee and peeter.noges@emu.ee"
227,"Peipsi.Mustvee","Chudskoye, Peipus","Lake","Russia Estonia","Europe",58.84,26.95,40.00,29.00,7.10,15.30,3552.80,25.00,"in situ","0","8:00-20:00","JAS","Tiina and Peeter Noges tiina.noges@emu.ee and peeter.noges@emu.ee"
228,"Peipsi.Praaga","Chudskoye, Peipus","Lake","Russia Estonia","Europe",58.43,27.23,25.00,29.00,7.10,15.30,3552.80,25.00,"in situ","0","8:00-20:00","JAS","Tiina and Peeter Noges tiina.noges@emu.ee and peeter.noges@emu.ee"
229,"Pepacton",,"Reservoir","United States","Northeastern North America",42.07,-74.96,10.00,390.14,30.10,68.30,23.19,0.63,"in situ","1","9:00-14:00","JAS","Nihar Samal NSamal@dep.nyc.gov"
230,"PeterPond",,"Lake","Canada","Western North America",56.02,-108.92,2.00,423.00,13.70,24.00,778.00,10.60,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
